
2024/11/18 (09:25:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (09:29:57) | ===> btop++ v.1.4.0
2024/11/19 (09:29:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (14:42:36) | ===> btop++ v.1.4.0
2024/11/19 (14:42:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/21 (09:16:37) | ===> btop++ v.1.4.0
2024/11/21 (09:16:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/21 (09:29:30) | ===> btop++ v.1.4.0
2024/11/21 (09:29:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/26 (09:29:24) | ===> btop++ v.1.4.0
2024/11/26 (09:29:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/27 (10:12:12) | ===> btop++ v.1.4.0
2024/11/27 (10:12:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/28 (09:17:46) | ===> btop++ v.1.4.0
2024/11/28 (09:17:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/29 (09:26:22) | ===> btop++ v.1.4.0
2024/11/29 (09:26:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/29 (11:16:02) | ===> btop++ v.1.4.0
2024/11/29 (11:16:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/29 (12:21:28) | ===> btop++ v.1.4.0
2024/11/29 (12:21:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/30 (21:32:58) | ===> btop++ v.1.4.0
2024/11/30 (21:32:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (11:41:31) | ===> btop++ v.1.4.0
2024/12/01 (11:41:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:04:16) | ===> btop++ v.1.4.0
2024/12/01 (22:04:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:10:17) | ===> btop++ v.1.4.0
2024/12/01 (22:10:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:43:11) | ===> btop++ v.1.4.0
2024/12/01 (22:43:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:45:27) | ===> btop++ v.1.4.0
2024/12/01 (22:45:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:50:53) | ===> btop++ v.1.4.0
2024/12/01 (22:50:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/01 (22:51:06) | ===> btop++ v.1.4.0
2024/12/01 (22:51:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/02 (09:32:53) | ===> btop++ v.1.4.0
2024/12/02 (09:32:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/02 (21:07:18) | ===> btop++ v.1.4.0
2024/12/02 (21:07:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/02 (23:57:58) | ===> btop++ v.1.4.0
2024/12/02 (23:57:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/03 (09:13:30) | ===> btop++ v.1.4.0
2024/12/03 (09:13:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/03 (12:28:35) | ===> btop++ v.1.4.0
2024/12/03 (12:28:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/03 (13:35:33) | ===> btop++ v.1.4.0
2024/12/03 (13:35:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/03 (21:58:27) | ===> btop++ v.1.4.0
2024/12/03 (21:58:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/04 (17:16:23) | ===> btop++ v.1.4.0
2024/12/04 (17:16:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/04 (19:58:29) | ===> btop++ v.1.4.0
2024/12/04 (19:58:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (09:16:57) | ===> btop++ v.1.4.0
2024/12/05 (09:16:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (20:30:30) | ===> btop++ v.1.4.0
2024/12/05 (20:30:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (20:36:02) | ===> btop++ v.1.4.0
2024/12/05 (20:36:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/05 (22:22:00) | ===> btop++ v.1.4.0
2024/12/05 (22:22:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (00:57:20) | ===> btop++ v.1.4.0
2024/12/06 (00:57:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (10:47:10) | ===> btop++ v.1.4.0
2024/12/06 (10:47:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (10:47:31) | ===> btop++ v.1.4.0
2024/12/06 (10:47:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (10:49:35) | ===> btop++ v.1.4.0
2024/12/06 (10:49:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (10:50:13) | ===> btop++ v.1.4.0
2024/12/06 (10:50:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (14:29:53) | ===> btop++ v.1.4.0
2024/12/06 (14:29:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

